description,title,section,site,issue_num,link
Nick Santos writes an overview of everything he learned at Droidcon NYC.,Stuff I Learned at Droidcon NYC,Articles & Tutorials,medium.com,169,https://medium.com/@nicksantos/stuff-i-learned-at-droidcon-nyc-66d84b47c6a1
"In this third Fragment installment, the team introduces Effective Java's second Item: Consider a builder when faced with many constructor parameters.",Effective Java for Android developers : Item 2,Articles & Tutorials,fragmentedpodcast.com,169,http://fragmentedpodcast.com/episodes/16/
"This week, Google is sharing tips from Christian Calderon at US game developer, Dots, on how to successfully optimize your Play Store Listing.",Do’s and Don’ts for improving your visibility on Google Play,Articles & Tutorials,android-developers.blogspot.com,169,http://android-developers.blogspot.com/2015/08/games-developer-dots-share-their-dos.html
Antonio Leiva takes a look at functional programming in Kotlin.,Unleash functional power on Android: Kotlin lambdas,Articles & Tutorials,antonioleiva.com,169,http://antonioleiva.com/functional-programming-android-kotlin-lambdas/
"Updating your app isn’t as daunting as you might think, though. You simply need add a few lines of code that build in checks and graceful failures. So here’s a handy guide to walk you through it.",Why runtime permissions shouldn’t scare you,Articles & Tutorials,plus.google.com,169,https://plus.google.com/+AndroidDevelopers/posts/FqgHUevqHiK
"Lisa Wray is amazed by the power of the new data binding libraries, and shows how to use it for setting fonts.",One-line custom fonts in XML with data binding,Articles & Tutorials,plus.google.com,169,https://plus.google.com/+LisaWrayZeitouni/posts/LTr5tX5M9mb
A brief tour of some of the Android Developer Options to help you debug issues in your app. (Droidcon NYC 2015),Android Developer Options,Articles & Tutorials,speakerdeck.com,169,https://speakerdeck.com/asfalcone/android-developer-options
"A new feature in the most recent version of Chrome called custom tabs addresses a tradeoff by allowing an app to customize how Chrome looks and feels, making the transition from app to web content fast and seamless.",Chrome custom tabs,Articles & Tutorials,android-developers.blogspot.com,169,http://android-developers.blogspot.com/2015/09/chrome-custom-tabs-smooth-transition.html
"A number of people have asked Dan Lew recently, ""What the hell happened to RxAndroid?"" Here's the short answer.",How to upgrade to RxAndroid 1.0,Articles & Tutorials,blog.danlew.net,169,http://blog.danlew.net/2015/09/01/how-to-upgrade-to-rxandroid-10/
"In this article Dave Smith explores how to get set up with the Proximity Beacon API,  as well as the benefits for using it in your deployments.",Google Proximity Beacons - Part 1,Articles & Tutorials,newcircle.com,169,https://newcircle.com/s/post/1755/2015/08/31/google-proximity-beacons---part-1
"Mark Allison continues this short series taking a look at the new Percent layout, exploring how to implement it, and also looking at some potential pitfalls.",Percent – Part 2,Articles & Tutorials,blog.stylingandroid.com,169,https://blog.stylingandroid.com/percent-part-2/
"Answers lets you understand exactly how users are behaving within your app and what's actually important within your data -- all in real time. Trusted by Spotify, Buzzfeed and other top apps on Google Play, Answers processes over 5 billion events per day. Get started with Answers today.",Mobile Analytics You Don't Need to Analyze,Sponsored,answers.io,169,https://answers.io?utm_source=sponsor&utm_medium=androidweekly&utm_campaign=androidweekly_9.6.2015&utm_content=sponsor_link
"Save time and target your app to multiple platforms and architectures with tools from Intel®. Easy-to-follow training videos offer tips, while added resources let you learn more.",Intel® Android Training Creates Better Experiences,Sponsored,software.intel.com,169,https://software.intel.com/articles/training-series-for-development-on-intel-based-android-devices?cid=&utm_content=General_Developers&utm_medium=Newsletter_Placement&utm_source=Android_Weekly&utm_campaign=Android_ASMO_Q3_15_Digital_Marketing_Campaign
"In 1 week on the Hired Marketplace, you'll get 5+ offers from top tech companies around the US and UK. Want to learn more? Check out Hired today!",Don't apply to companies. Let them apply to you!,Sponsored,hired.com,169,http://hired.com/?utm_source=newsletters&utm_medium=androidweekly&utm_campaign=n-q3_15-androidweeklyspons
"Right from the very the beginning of MaterialUp, the author was lucky to discover and follow the work of Michael Cook, an exceptionally talented icon designer from Iowa.",Guide on Creating Quality Material Design Icons,Design,medium.com,169,https://medium.com/materialup-exploring-material-design/tips-thoughts-on-creating-quality-material-design-icons-4b02b8d0bdd5
There are three different scenarios for UI multiplatform adaptation: retaining brand consistency; aligning with the conventions specific to the platform; and seeking a balance between the two. This article to analyzes these three approaches.,Approaches For Multiplatform UI Design Adaptation: A Case Study,Design,www.smashingmagazine.com,169,http://www.smashingmagazine.com/2015/09/approaches-for-multiplatform-ui-design-adaptation/
"Do you love open source libraries like Dagger, Retrofit and Picasso?  Want to work on Material Design, master automated testing and take mobile payments to the next level?  We need strong, collaborative Android developers to join our small team – and we pay a very generous relocation package!",Seasoned Android Developer @ Capital One,Jobs,"Vienna, VA + more",169,https://jobs.capitalone.com/job/vienna/lead-android-developer-ai/1732/389771
"We’re looking for experienced Android developers with proven chops building Android apps and work experience with multi-developer projects. In this role at Fuzz, you will lead and shape Android apps covering a vast array of functionality for a variety of companies, from start-ups to the Fortune 100.",Android Developer,Jobs,NYC or Boston,169,https://fuzzproductions.com/jobs/apply/android-developer
"We are looking for a Mobile Engineering Manager that will join the Monetization department, which focuses on free tier monetization, ads infrastructure and promotion. You will be leading the team that drives mobile product development across all the teams to support revenue generation.",Mobile Engineering Manager @ Spotify,Jobs,New York,169,https://www.spotify.com/us/jobs/view/o9Pt1fwc/
"We are looking for thoughtful, well-rounded Android engineers to join our team and help build an application that millions of people use every day to discover and listen to music. You will play a leading role in our mobile engineering practice and implementing new features.",Android Engineer @ Spotify,Jobs,"New York, New York",169,https://www.spotify.com/us/jobs/view/oqZx1fwH/
"Skout is seeking a Senior Android developer to join our mobile team in SF and help shape the future of our Android applications. The ideal candidate will be comfortable in a fluid start-up environment and will bring an energetic, fun and creative approach to their work.",Sr. Android Engineer @ Skout,Jobs,"San Francisco, CA",169,https://boards.greenhouse.io/skout/jobs/83697
"We're looking for engineers to join our 4-person Android team in Philadelphia or New York City. We work closely with design and product teams to build apps that offer an amazing video streaming experience to all our users on various form factors - phones, tablets & TVs. Come join us at DramaFever!",Android Developer,Jobs,Philadelphia or NYC,169,http://www.jsco.re/3c4l
Sr. Android Engineers @APN #Oakland & #New York,Senior Android Engineer @ ask.com,Jobs,"Oakland, CA or New York, NY",169,https://www.smartrecruiters.com/IAC/84648354-senior-android-engineer
We're providing the engine for thousands of apps like Dropbox and are used in the Cockpits of Lufthansa or the London Underground. PSPDFKit will be be one of the most interesting and complex projects you've worked on so far. We have a talented team and are looking to grow.,Senior Android Engineer - Help us build an SDK!,Jobs,Remote,169,https://pspdfkit.com/jobs/#section_android
FrenchToast gives you absolute control over your app Toasts. It does so by duplicating the internals of Android Toasts and giving you access.,Frenchtoast,Libraries & Code,github.com,169,https://github.com/pyricau/frenchtoast
backboard is a motion-driven animation framework for Android. It is built on top of rebound that makes it easier to use by coupling it to views and motions.,Backboard,Libraries & Code,github.com,169,https://github.com/tumblr/Backboard
"This app is designed to demonstrate the various components of the Android Support libraries, in particular, showing how to implement Material design into your app, using these controls.",Android-historian,Libraries & Code,github.com,169,https://github.com/mwolfson/android-historian
