description,title,section,site,issue_num,link
"Want to make image editing fast with a few lines of code? Want to use the computing power of your phone’s GPU without the complexity of OpenCL? Well, renderscript is meant for you.",Simple and fast image processing with RenderScript ,Articles & Tutorials,medium.com,203,https://medium.com/@qhutch/android-simple-and-fast-image-processing-with-renderscript-2fa8316273e1#.yn6k7hups
"This articles dives into the meanings of Task, Process, Activity, Fragment, Context & more.",Understanding Android Naming Conventions ,Articles & Tutorials,tir38.com,203,https://tir38.com/archives/1423
It turns out that many libraries and SDKs cause major startup delays and other performance issues. These delays can be hard to track down because developers typically have little to no knowledge of the library or SDK’s implementation,Performance Problems in Libraries and SDKs ,Articles & Tutorials,blog.nimbledroid.com,203,http://blog.nimbledroid.com/2016/04/25/problems-with-libraries-and-sdks.html
"Dmytro Danylyk wrote this article because the GridLayout layout has been unfairly forgotten, but remains quite useful in some situations.",Android Grid Layout ,Articles & Tutorials,medium.com,203,https://medium.com/google-developer-experts/android-grid-layout-1faf0df8d6f2#.9sqygs91u
"Donn Felker continues his series, this time with the Interface Segregation Principle",Interface Segregation Principle,Articles & Tutorials,realm.io,203,https://realm.io/news/donn-felker-solid-part-4/
"Technical audits of iOS and Android applications have become an integral part of the Karumi team's daily job. In this document they review what we believe are the most important things to check, separated by technical area.",Android Audit,Articles & Tutorials,karumi.github.io,203,http://karumi.github.io/AndroidAudit/
"With the right tools, skipping accessibility is a compromise you don’t have to make. Here are some ways to help your team ensure that accessibility is added and part of testing your final product.",Accessibility Testing on Android,Articles & Tutorials,robots.thoughtbot.com,203,https://robots.thoughtbot.com/accessibility-testing-on-android
"In part 8, review how to properly manage the orientation change in the device and see how to handle runtime changes so we don’t lose the already requested news, all in a usable Kotlin app.",Keddit — Part 8: Orientation Change with Kotlin,Articles & Tutorials,medium.com,203,https://medium.com/@juanchosaravia/keddit-part-8-orientation-change-with-kotlin-parcelable-data-classes-f28136e8a6a8#.8kjyczg37
Introducing a new REST mocking library and how it can be used.,ITDD — Instrumentation TDD for Android using RESTMock,Articles & Tutorials,medium.com,203,https://medium.com/@andrzejchm/ittd-instrumentation-ttd-for-android-4894cbb82d37#.2lpba527y
"Dávid Karnok takes a close look at the implementation details of Google's new reactive implementation, Agera.",Advanced RxJava: Google Agera vs. ReactiveX,Articles & Tutorials,akarnokd.blogspot.hu,203,http://akarnokd.blogspot.hu/2016/04/google-agera-vs-reactivex.html
"Google has released Android Studio 2.1, with support for Android N development.",Android Studio 2.1 supports Android N Developer Preview,Articles & Tutorials,android-developers.blogspot.com,203,http://android-developers.blogspot.com/2016/04/android-studio-21-supports-android-n.html
Alexandru Simonescu details how to use SQLDelight wrapper library in your own app.,Delightful persistence on Android,Articles & Tutorials,blog.alexsimo.com,203,http://blog.alexsimo.com/delightful-persistence-android/
"Android developers, it's time to boost your productivity! Greenhouse is a cloud-based continuous integration service that builds, tests and distributes your apps for every commit without any complicated configuration or setup. We help you build higher quality apps that are delivered to end-users faster.",Hassle-free Continuous Integration for Mobile Apps ,Sponsored,greenhouseci.com,203,http://greenhouseci.com/?utm_source=androidweekly
"Spend less time on routine tasks with Sympli—a design handoff and collaboration tool that works with Sketch, Photoshop, and your IDE. Sympli Android Studio plugin extends autocomplete and allows you to inspect mockups, sync assets, and set automatic asset renaming rules to implement design quicker.",Sympli: Quicker Design Handoff and Implementation,Sponsored,sympli.io,203,https://sympli.io/?utm_source=WebAd&utm_medium=banner&utm_campaign=AndroidWeekly
"Hired lets you sit back while job offers come to you. When you complete your profile, instantly apply to 3,500+ companies on the platform who will contact you with job offers, including salary and equity up-front. Try it today.",The Easiest Way to Find a Job,Sponsored,hired.com,203,https://hired.com/?utm_source=newsletter&utm_medium=androidweekly&utm_term=cat-tech-android&utm_campaign=q2-16&utm_location=us&utm_content=easiest
We are a spin out from the award winning Computer Science dept at the University of Oxford developing cutting edge indoor location services. Join our talented team in the centre of Oxford to help us bring our technology to new markets.,Android Developer at Navenio Ltd,Jobs,"Oxford, UK",203,http://stackoverflow.com/jobs/114992/android-engineer-indoor-location-navenio-spinout-from
"Centralway’s vision is to create the world’s leading mobile banking platform. We are looking for highly skilled Android Engineers, who are interested in changing the future of mobile banking with us.","Software Engineer, Android",Jobs,Zürich,203,https://www.centralway.com/en/careers/open-positions/details#oOgFZfws
"Google just released a Agera, a set of classes and interfaces to help write functional, asynchronous, and reactive applications for Android. You'll find an introduction in the wiki and be sure to check out the issue where it's compared to RxJava.",Agera,Libraries & Code,github.com,203,https://github.com/google/agera
A library that allows you to enable/disable features and/or part of code regarding a Context,Flaggr-android,Libraries & Code,github.com,203,https://github.com/blablacar/flaggr-android
"retrolambda is a backport of Java 8's lambda expressions to Java 7, 6 and 5. This is a special fork by Jake Wharton that contains several optimizations that help reduce the number of generated methods per lambda.",Retrolambda (jake wharton fork),Libraries & Code,github.com,203,https://github.com/JakeWharton/retrolambda
RxJava wrapper for Google Drive Android API,RxDrive,Libraries & Code,github.com,203,https://github.com/francescocervone/RxDrive
RESTMock is a library working on top of Square's okhttp/MockWebServer. It allows you to specify Hamcrest matchers to match HTTP requests and specify what response to return.,RESTMock,Libraries & Code,github.com,203,https://github.com/andrzejchm/RESTMock
"This release includes support for Android N, many of the language features in Java 8, a semi-official switch to the Jack compiler, an updated New Project wizard, and further improvements to the new and faster Android Emulator.",Android Studio v2.1 Released To Stable Channel,News,www.androidpolice.com,203,http://www.androidpolice.com/2016/04/26/android-studio-v2-1-released-to-stable-channel-with-support-for-android-n-java-8-language-features-and-more/
Learn more about Android Studio 2.1 on Android Tool Time with Reto Meier,What’s New in Android Studio 2.1,Videos & Podcasts,www.youtube.com,203,https://www.youtube.com/watch?v=ZOz_yr8Yxq8&feature=youtu.be
"Kenneth, Kevin and Len are joined by Rebecca Franks to discuss the world of mobile development for Android, Google's developer platform and her recent Google Developer Expert accolade.",Android with Rebecca Franks,Videos & Podcasts,soundcloud.com,203,https://soundcloud.com/zadevchat/episode-39-android-with-rebecca-franks
"In this very first edition of a Decompress episode the guys talk about the fonts they love to use, some Xcode hating, Testing woes and the intensely discussed library that Google recently released Agera!",Decompress 1,Videos & Podcasts,fragmentedpodcast.com,203,http://fragmentedpodcast.com/episodes/37/
"An introductory look at AutoValue, the Java library for creating immutable value types with ease, and how it can help you write better code, faster.",Understanding AutoValue - Value types minus the boiler plate,Videos & Podcasts,caster.io,203,https://caster.io/episodes/understanding-autovalue-autovalue-value-types-minus-boiler-plate-part-1/
"Huyen talks with Roberto Orgiu, Turin-based Android developer and member of the Droidcon Italy crew, to talk about Zeroconf and Droidcon Italy.",Android Dialogs: Roberto Orgiu,Videos & Podcasts,www.youtube.com,203,https://www.youtube.com/watch?v=9FgckneXC7U&feature=youtu.be
"Want to find out how you compare to other developers in your country, based on programming language, dev tools used, or type of software?Take VisionMobile’s 15-minute Developer Tools Benchmarking survey to talk about what’s fantastic or frustrating about the tools you’re using, describe what you're building, why, and where you go to find out how.",Developer Survey,Specials,vmob.me,203,http://vmob.me/DE3Q16AndroidWeekly
