description,title,section,site,issue_num,link
"Reto Meier shows how the Awareness API helps you engage users in specific situations using simple, battery efficient ways to check their current context, and to create “fences” so your app can react to a specific set of conditions.",Using the Awareness API for Android,Articles & Tutorials,medium.com,214,https://medium.com/google-developers/using-the-awareness-api-for-android-a185b05e7254#.tebafpllc
Dan Kim wrote a guide on how to go about writing and releasing an open source library for Android.,How I built your first Android open source library,Articles & Tutorials,m.signalvnoise.com,214,https://m.signalvnoise.com/how-i-built-my-first-android-open-source-library-and-how-you-can-too-8a731abbdd2a#.edy2ik5ej
This tutorial shows how to create a ripple effect in any color.,Programmatically create a RippleDrawable of any color,Articles & Tutorials,blog.blundellapps.co.uk,214,http://blog.blundellapps.co.uk/tut-programmatically-create-a-rippledrawable-of-any-color/
Colt McAnlis shares his obsession (addiction really) about Data Compression.,Understanding Compression,Articles & Tutorials,medium.com,214,https://medium.com/@duhroach/understanding-compression-69c874de6ad7#.jhzzf5ngh
"As one of the co-organizers of 360|AnDev, Dave Smith recently took it upon himself to build the conference Android app using Firebase. ",Firebase Drives the 360|AnDev Application,Articles & Tutorials,wiresareobsolete.com,214,http://wiresareobsolete.com/2016/07/360andev-firebase/
So far in this series Mark Allison has looked at many aspects of ContstraintLayout itself but there are a couple of features of the visual editor which are also worthy of study.,ConstraintLayout – Part 7,Articles & Tutorials,blog.stylingandroid.com,214,https://blog.stylingandroid.com/constraintlayout-part-7/
"Buddybuild is a mobile continuous integration and deployment platform that takes minutes to set-up. Our SDK makes it super easy to get feedback and crash reports from users in real-time. Stop cobbling together and maintaining disparate build, deployment, crash reporting and feedback systems. Focus on what you do best: creating apps people love!",Buddybuild: continuous integration & delivery made easy! ,Sponsored,buddybuild.com,214,https://buddybuild.com/?ref=androidweekly0717
Get the new Playbook app for developers to stay up to date with features and best practices that will help you grow a successful app or game business on Google Play.,Succeed on Google Play with help from a new app,Sponsored,play.google.com,214,https://play.google.com/store/apps/details?id=com.google.android.apps.secrets&utm_source=newsletter&utm_medium=email&utm_content=ad4&utm_campaign=androidweekly
Bored at work? Want to try a new stack? Find 3500+ great tech companies on Hired who will compete to hire you. Try it today.,Hired is the best place to find engineering jobs,Sponsored,hired.com,214,https://hired.com/?utm_source=newsletter&utm_medium=androidweekly&utm_term=cat-tech-android&utm_campaign=q2-16&utm_location=us&utm_content=bestplace
"We have fully embraced RXJava, using it for all async operations. We investigate and utilize new third party libraries, including but not limited to Butterknife/OkHTTP/Retrofit/Guava (not new but grrreat!) /Picasso/ Roboelectric/ Mockito, etc. etc.We were out with the release of Wear & Google Fit.",Principal Android Developer,Jobs,"Boston, MA",214,https://boards.greenhouse.io/runkeeper/jobs/200526
"ButterKnife v8.2.0 released with view binding support for library projects. Yes, you read that right.",butterknife,Libraries & Code,github.com,214,https://github.com/JakeWharton/butterknife/blob/master/CHANGELOG.md
"JetBrains presents the first preview version of Kotlin 1.1. It's far from Beta, but the brave and curious ones can play with new exciting things (and hopefully give some invaluable feedback).","First glimpse of Kotlin 1.1: Coroutines, Type aliases and more",News,blog.jetbrains.com,214,https://blog.jetbrains.com/kotlin/2016/07/first-glimpse-of-kotlin-1-1-coroutines-type-aliases-and-more/
"Matt Precious explains when and when not to go custom, and provide tips and tricks for getting the most out of your views. ",Don’t Fear the Canvas,Videos & Podcasts,www.youtube.com,214,https://www.youtube.com/watch?v=KH8Ldp39TUk&feature=youtu.be
"Ellen Shapiro compares iOS & Android Testing, and tells us one thing from each platform she would like to bring to the other. And yes, there are Futurama references.",iOS & Android Testing,Videos & Podcasts,www.youtube.com,214,https://www.youtube.com/watch?v=-__P_QID3Ag&feature=youtu.be
The goal of this presentation is to get you started developing great apps for Android Auto.,Android Auto: The Right Information for the Road Ahead,Videos & Podcasts,www.youtube.com,214,https://www.youtube.com/watch?v=GeSKaz6PCm4&feature=youtu.be
Direct Reply allows you to receive text input from the user directly in the notification shade.,Notifications with Direct Reply,Videos & Podcasts,www.youtube.com,214,https://www.youtube.com/watch?v=Zg4v9G-lku8&feature=youtu.be
"In this video, Google provides guidelines and best practices for enabling Google Cast for your app. They walk through live examples to demonstrate specific concepts.",UX Design for Google Cast,Videos & Podcasts,www.youtube.com,214,https://www.youtube.com/watch?v=Kch8n4tcOZQ&feature=youtu.be
Chiu-Ki Chan shares her tips and techniques for dealing with a wide range of densities and resolutions.,Supporting Multiple Android Device Definitions,Videos & Podcasts,www.youtube.com,214,https://www.youtube.com/watch?v=zImbxlqptBQ&feature=youtu.be
"Timothy Jordan, host of The Developer Show, chats with Mihai Ionescu, Developer Platform Manager about Google Search APIs.",The Developer Show (Search and App Indexing),Videos & Podcasts,www.youtube.com,214,https://www.youtube.com/watch?v=75lHEyJZsCE&feature=youtu.be
"Smart mirrors come from the idea of bringing technology into every-day, not-so-smart objects: the traditional mirrors. This article shows how to build one yourself.","Mirror, Smart Mirror on the wall…",Specials,www.novoda.com,214,https://www.novoda.com/blog/mirror-smart-mirror-on-the-wall/
"You want to visit the Droidcon NYC this year? We have a voucher for you: ""androidweekly""",Droidcon NYC,Events,droidcon.nyc,214,http://droidcon.nyc/
This post is focused on examining the ConstraintLayout container architecture and how it does its job. ,"ConstraintLayout, Inside and Out: Part 1",Articles & Tutorials,wiresareobsolete.com,215,http://wiresareobsolete.com/2016/07/constraintlayout-part-1/
Here are some important tips to consider when creating an open source library.,How not to become a public enemy - Part 1 ,Articles & Tutorials,blog.karumi.com,215,http://blog.karumi.com/how-not-to-become-a-public-enemy-part-1/
In this post Savelii Zagurskii showcases a solution for the situation where a developer has an external library which is very slow to load and initialize.,How to Load Heavy Libraries on Splash Screen,Articles & Tutorials,szagurskii.com,215,http://szagurskii.com/blog/how-to-load-heavy-libraries-on-splash-screen/
"Whether you’re building an app for a remote viewfinder, to set up a connected light bulb, or to control a quadcopter, if it’s Wi-Fi based you will need to connect to a hotspot that may not have Internet connectivity.",Connecting your App to a Wi-Fi Device ,Articles & Tutorials,android-developers.blogspot.com,215,http://android-developers.blogspot.com/2016/07/connecting-your-app-to-wi-fi-device.html
